Microchip ID,SL_11212022,WWT_11212022,Tank,Temperature,SL_12272022,WWT_12272022,MortDate,DissectionDate,SL_mm,WholeBodyWW_g,TOTAL_Liver_WW_mg,LiverforLipids_WW_mg,MuscleWWforLipids_mg,GeneticSamplingCount,DissectionComments
0620,93,8.53,1,16,101,11.12,,2/8/23,119,16.15,0.4945,0.1546,0.3495,8,
1164,88,7.06,1,16,96,8.64,,2/8/23,105,10.89,0.1997,0.1091,0.3328,5,
1476,102,10.70,1,16,108,12.25,,2/8/23,110,12.97,0.1715,0.1107,0.3834,4,
9387,87,7.83,1,16,95,10.16,,2/8/23,116,15.40,0.3625,0.1681,0.3262,6,
9407,100,11.51,1,16,117,14.98,,2/8/23,127,17.98,0.3482,0.1210,0.3434,2,
9415,92,8.68,1,16,100,10.96,,2/8/23,114,14.02,0.2343,0.1342,0.2776,9,
9443,99,10.54,1,16,108,12.94,,2/8/23,114,14.39,0.0896,0.0704,0.3899,1,lipid inserts
9494,81,6.59,1,16,88,8.33,,2/8/23,105,11.57,0.2684,0.1161,0.3462,3,
9545,70,3.72,1,16,76,4.74,1/22/23,2/10/23,76,4.10,0.0561,0.0519,0.3073,genetic samples not taken,Mort date 1-22-23
9548,94,9.27,1,16,104,11.48,,2/8/23,117,14.82,0.2618,0.1328,0.3636,7,
9382,98,10.23,2,16,110,13.27,,2/8/23,126,17.97,0.2695,0.1202,0.3252,13,
9455,84,7.30,2,16,92,8.38,2/1/23,2/10/23,92,7.31,0.1243,0.1008,0.3000,genetic samples not taken,mort date 2-1-23
9471,97,8.52,2,16,106,11.12,,2/8/23,120,14.90,0.2651,0.1317,0.3160,11,
9491,86,7.90,2,16,95,9.40,,2/8/23,108,12.11,0.3982,0.1038,0.3346,14,
9503,96,10.09,2,16,110,13.00,,2/8/23,118,15.79,0.2723,0.1203,0.3119,15,muscle nematode
9518,95,9.45,2,16,105,12.67,,2/8/23,120,16.22,0.3854,0.1285,0.2967,10,
9520,86,7.94,2,16,100,11.30,,2/8/23,116,14.88,0.3465,0.1101,0.3025,17,
